model_type,n_topics,perplexity
LDA,10.0,3247.769810242507
LDA,20.0,2969.8646490444994
LDA,30.0,3018.8549466333193
LDA,40.0,3014.227918614775
LDA,50.0,2909.724712668451
LDA,60.0,2870.0315365321508
LDA,70.0,2776.2108441389446
LDA,80.0,2676.7417179784884
LDA,90.0,2704.809478332652
LDA,100.0,2698.957414582406
LDA,110.0,2714.9008053095945
LDA,130.0,2776.2643575878574
LDA,140.0,2874.026535540351
LDA,150.0,2907.0058005673277
HDP,,2697.76653716656
