model_type,n_topics,perplexity
LDA,20.0,3267.769810242507
LDA,30.0,3053.682013013013
LDA,40.0,2969.8646490444994
LDA,50.0,3018.8549466333193
LDA,60.0,3002.227918614775
LDA,70.0,2859.724712668451
LDA,80.0,2807.0058005673277
LDA,90.0,2794.0315365321508
LDA,100.0,2716.2108441389446
LDA,110.0,2682.7417179784884
LDA,120.0,2704.809478332652
LDA,130.0,2694.957414582406
LDA,140.0,2714.9008053095945
LDA,150.0,2776.2643575878574
LDA,160.0,2805.026535540351
HDP,,2697.76653716656
